,elements,counts,charges,total_charge,formula
0,"['Mg', 'Se', 'S', 'P']","[3, 10, 3, 4]","[2, -2, -2, 5]",0,Mg3P4Se10S3
1,"['Rb', 'C', 'O']","[2, 1, 3]","[1, 4, -2]",0,Rb2CO3
2,"['Cl', 'N', 'H']","[1, 1, 4]","[-1, -3, 1]",0,H4NCl
3,"['Ag', 'S']","[2, 1]","[1, -2]",0,Ag2S
4,"['Ca', 'O']","[2, 3]","[2.0, -2.0]",-2,Ca2O3
5,"['Nb', 'Nb', 'S', 'C']","[1, 1, 1, 1]","[2.0, 4.0, -2.0, -4.0]",0,Nb2CS
6,"['Mo', 'N', 'O', 'H']","[7, 6, 24, 24]","[6, -3, -2, 1]",0,Mo7H24(NO4)6
7,"['Cr', 'N', 'O']","[1, 3, 9]","[3, 5, -2]",0,Cr(NO3)3
8,"['Dy', 'F']","[1, 3]","[3, -1]",0,DyF3
9,"['O', 'Ho']","[1, 1]","[-2.0, 0.0]",-2,HoO
10,['Re'],[1],[0],0,Re
11,"['O', 'P', 'H']","[4, 1, 2]","[-2.0, 0.0, 0.0]",-8,P(HO2)2
12,"['Dy', 'N', 'O']","[1, 3, 9]","[3, 5, -2]",0,Dy(NO3)3
13,['P'],[1],[0],0,P
14,"['Tb', 'N', 'O']","[1, 3, 9]","[3, 5, -2]",0,Tb(NO3)3
15,"['O', 'C', 'C', 'H', 'Al']","[4, 1, 1, 5, 1]","[-2.0, 4.0, -4.0, 1, 3.0]",0,AlH5(CO2)2
16,"['Eu', 'F']","[1, 3]","[3, -1]",0,EuF3
17,"['Ba', 'O']","[1, 1]","[2, -2]",0,BaO
18,"['Zn', 'P', 'O']","[1, 2, 6]","[2, 5, -2]",0,Zn(PO3)2
19,['C'],[1],[0],0,C
20,"['Cl', 'Ti']","[3, 1]","[-1, 3.0]",0,TiCl3
21,"['Te', 'O']","[1, 2]","[4, -2]",0,TeO2
22,"['Cd', 'C', 'O']","[1, 1, 3]","[2, 4, -2]",0,CdCO3
23,"['Mg', 'N', 'H']","[1, 2, 4]","[2, -3, 1]",0,Mg(H2N)2
24,"['Al', 'P', 'O']","[1, 3, 9]","[3, 5, -2]",0,Al(PO3)3
25,"['K', 'P', 'O', 'H']","[1, 1, 4, 2]","[1, 5, -2, 1]",0,KP(HO2)2
26,['Fe'],[1],[0],0,Fe
27,"['O', 'Bi']","[5, 2]","[-2.0, 5.0]",0,Bi2O5
28,"['Cu', 'Se']","[1, 1]","[2, -2]",0,CuSe
29,"['Ce', 'C', 'O']","[2, 3, 9]","[3, 4, -2]",0,Ce2(CO3)3
30,"['Mo', 'O']","[1, 3]","[6, -2]",0,MoO3
31,"['Tm', 'Cl']","[1, 3]","[3, -1]",0,TmCl3
32,"['O', 'Cu', 'C', 'C', 'H']","[4, 1, 2, 2, 6]","[-2.0, 2.0, 4.0, -4.0, 1]",0,CuH6(CO)4
33,"['Cd', 'I']","[1, 2]","[2, -1]",0,CdI2
34,"['Ti', 'H']","[1, 2]","[2.0, -1]",0,TiH2
35,"['Tl', 'Br']","[1, 1]","[1, -1]",0,TlBr
36,"['Ni', 'Br']","[1, 2]","[2, -1]",0,NiBr2
37,"['Li', 'N', 'O']","[1, 1, 3]","[1, 5, -2]",0,LiNO3
38,"['O', 'Co', 'N']","[3, 1, 1]","[-2.0, 3.0, 3.0]",0,CoNO3
39,"['N', 'H', 'F']","[1, 5, 2]","[-3, 1, -1]",0,H5NF2
40,"['Mg', 'O']","[1, 1]","[2, -2]",0,MgO
41,"['Na', 'S', 'S']","[2, 1, 2]","[1, 2.0, -2.0]",0,Na2S3
42,"['Cd', 'Cl']","[1, 2]","[2, -1]",0,CdCl2
43,"['Y', 'O']","[2, 3]","[3, -2]",0,Y2O3
44,"['Cd', 'S']","[1, 1]","[2.0, -2.0]",0,CdS
45,"['O', 'Sn', 'C', 'C']","[4, 1, 1, 1]","[-2.0, 2.0, 2.0, 4.0]",0,Sn(CO2)2
46,"['Na', 'P', 'O', 'H']","[1, 1, 4, 2]","[1, 5, -2, 1]",0,NaP(HO2)2
47,"['Cs', 'Br']","[1, 1]","[1, -1]",0,CsBr
48,"['Tm', 'O', 'F']","[1, 1, 1]","[3, -2, -1]",0,TmOF
49,"['Sb', 'Se']","[2, 3]","[3.0, -2.0]",0,Sb2Se3
50,"['Eu', 'F']","[1, 2]","[2, -1]",0,EuF2
51,"['O', 'Cr', 'N']","[6, 1, 2]","[-2.0, 2.0, 5.0]",0,Cr(NO3)2
52,"['Ti', 'C', 'O', 'H']","[1, 16, 4, 36]","[4, -2, -2, 1]",0,TiH36(C4O)4
53,"['O', 'Mn', 'C', 'C', 'H']","[3, 1, 1, 1, 3]","[-2.0, 2.0, 4.0, -3.0, 1]",0,MnH3C2O3
54,"['Cu', 'C', 'O']","[1, 1, 3]","[4, 2, -2]",0,CuCO3
55,"['O', 'Te', 'Te']","[1, 1, 1]","[-2.0, -2.0, 4.0]",0,Te2O
56,"['O', 'Mn']","[7, 2]","[-2.0, 7.0]",0,Mn2O7
57,"['K', 'P', 'O']","[3, 1, 4]","[1, 5, -2]",0,K3PO4
58,"['Li', 'P', 'O']","[7, 5, 16]","[1, 5, -2]",0,Li7P5O16
59,"['Al', 'Br']","[1, 3]","[3, -1]",0,AlBr3
60,"['Eu', 'O']","[2, 3]","[3, -2]",0,Eu2O3
61,"['As', 'N', 'O', 'H']","[1, 2, 4, 9]","[5, -3, -2, 1]",0,AsH9(NO2)2
62,"['Np', 'O']","[1, 2]","[0.0, -2.0]",-4,NpO2
63,"['B', 'O', 'H']","[1, 3, 3]","[3, -2, 1]",0,B(HO)3
64,"['La', 'N', 'O', 'H']","[1, 3, 15, 12]","[3, 5, -2, 1]",0,La(NO3)3.6H2O
65,"['Ba', 'C', 'O']","[1, 1, 3]","[2, 4, -2]",0,BaCO3
66,"['Mo', 'Se']","[1, 2]","[4, -2]",0,MoSe2
67,"['Pr', 'O']","[2, 3]","[3, -2]",0,Pr2O3
68,"['Ca', 'P', 'O']","[2, 2, 7]","[2, 5, -2]",0,Ca2P2O7
69,"['Pb', 'Se']","[1, 1]","[2.0, -2.0]",0,PbSe
70,"['O', 'Ti']","[3, 1]","[-2.0, 0.0]",-6,TiO3
71,"['Re', 'O']","[2, 3]","[3, -2]",0,Re2O3
72,['Dy'],[1],[0],0,Dy
73,"['P', 'N', 'O', 'H']","[3, 2, 12, 9]","[3, 3, -2, 1]",0,P3H9(NO6)2
74,"['O', 'La', 'La', 'N']","[3, 1, 1, 1]","[-2.0, 2.0, 3.0, 1]",0,La2NO3
75,"['Ag', 'Br']","[1, 1]","[1, -1]",0,AgBr
76,"['La', 'O', 'H']","[1, 3, 3]","[3, -2, 1]",0,La(HO)3
77,"['Tl', 'Cl']","[1, 1]","[1, -1]",0,TlCl
78,"['Fe', 'C', 'O']","[2, 1, 3]","[2, 2, -2]",0,Fe2CO3
79,"['Se', 'O']","[1, 2]","[4, -2]",0,SeO2
80,['Na'],[1],[0],0,Na
81,['Mo'],[1],[0],0,Mo
82,"['Fe', 'Cl']","[1, 3]","[3, -1]",0,FeCl3
83,['Gd'],[1],[0],0,Gd
84,['Pr'],[1],[0],0,Pr
85,"['Na', 'O', 'H']","[1, 1, 1]","[1, -2, 1]",0,NaHO
86,"['Rb', 'S', 'S']","[2, 1, 2]","[1, 2.0, -2.0]",0,Rb2S3
87,"['O', 'Cd', 'C', 'C', 'H']","[4, 1, 2, 2, 6]","[-2.0, 2.0, 4.0, -4.0, 1]",0,CdH6(CO)4
88,"['Ca', 'O', 'H']","[1, 2, 2]","[2, -2, 1]",0,Ca(HO)2
89,"['Os', 'O']","[1, 2]","[4, -2]",0,OsO2
90,"['Cl', 'Ti', 'N', 'H']","[3, 1, 5, 15]","[-1, 3.0, -3.0, 1]",0,TiH15N5Cl3
91,"['Ce', 'Cl']","[1, 3]","[3, -1]",0,CeCl3
92,"['S', 'P']","[5, 2]","[-2, 5]",0,P2S5
93,"['Al', 'H']","[1, 3]","[3.0, -1]",0,AlH3
94,"['Li', 'Se']","[2, 1]","[1, -2]",0,Li2Se
95,"['Y', 'S']","[2, 3]","[3, -2]",0,Y2S3
96,"['Pb', 'F']","[1, 4]","[4, -1]",0,PbF4
97,"['Cu', 'N', 'O']","[1, 2, 6]","[2, 5, -2]",0,Cu(NO3)2
98,"['Ti', 'S']","[1, 2]","[4, -2]",0,TiS2
99,"['O', 'Mn', 'Mn']","[4, 2, 1]","[-2.0, 2.0, 4.0]",0,Mn3O4
100,"['Bi', 'P', 'O']","[1, 3, 9]","[3, 5, -2]",0,Bi(PO3)3
101,"['Sr', 'P', 'O']","[3, 2, 8]","[2, 5, -2]",0,Sr3(PO4)2
102,"['Sr', 'N']","[3, 2]","[2, -3]",0,Sr3N2
103,"['Rb', 'F']","[1, 1]","[1, -1]",0,RbF
104,"['In', 'F']","[1, 3]","[3, -1]",0,InF3
105,"['Co', 'C', 'O']","[1, 3, 6]","[3, 3, -2]",0,Co(CO2)3
106,"['Cd', 'O']","[1, 1]","[2, -2]",0,CdO
107,"['Bi', 'N', 'O']","[1, 1, 3]","[3, 3, -2]",0,BiNO3
108,['Sb'],[1],[0],0,Sb
109,"['Li', 'O', 'H']","[1, 1, 1]","[1, -2, 1]",0,LiHO
110,"['Cu', 'O', 'H']","[1, 2, 2]","[2, -2, 1]",0,Cu(HO)2
111,"['Ga', 'N']","[1, 1]","[3, -3]",0,GaN
112,"['Lu', 'S']","[2, 3]","[3, -2]",0,Lu2S3
113,"['Pb', 'N', 'O']","[1, 2, 6]","[2, 5, -2]",0,Pb(NO3)2
114,"['O', 'Pb', 'Pb']","[3, 1, 1]","[-2.0, 2.0, 4.0]",0,Pb2O3
115,"['Co', 'F']","[1, 2]","[2, -1]",0,CoF2
116,"['Ta', 'O']","[2, 5]","[5, -2]",0,Ta2O5
117,"['Ca', 'P', 'O']","[3, 2, 8]","[2, 5, -2]",0,Ca3(PO4)2
118,"['Th', 'O']","[1, 2]","[4, -2]",0,ThO2
119,['Sr'],[1],[0],0,Sr
120,"['U', 'O']","[1, 2]","[4, -2]",0,UO2
121,"['Rb', 'N', 'O']","[1, 1, 3]","[1, 5, -2]",0,RbNO3
122,"['Cu', 'S']","[1, 1]","[2.0, -2.0]",0,CuS
123,"['Nd', 'Cl']","[1, 3]","[3, -1]",0,NdCl3
124,"['Cs', 'P', 'O', 'H']","[1, 1, 4, 2]","[1, 5, -2, 1]",0,CsP(HO2)2
125,"['O', 'Al', 'N']","[1, 1, 1]","[-2.0, 3.0, -1]",0,AlNO
126,"['Li', 'O', 'C']","[1, 3, 1]","[1, -2.0, 0.0]",-5,LiCO3
127,"['O', 'Fe']","[1, 2]","[-2.0, 0.0]",-2,Fe2O
128,"['O', 'Mn', 'C']","[3, 2, 1]","[-2.0, 2.0, 2.0]",0,Mn2CO3
129,"['Tl', 'F']","[1, 1]","[1, -1]",0,TlF
130,"['Sm', 'O']","[2, 3]","[3, -2]",0,Sm2O3
131,"['O', 'La', 'C', 'C', 'H']","[6, 1, 3, 3, 9]","[-2.0, 3.0, 4.0, -4.0, 1]",0,LaH9(CO)6
132,"['Ca', 'N', 'O']","[1, 2, 6]","[2, 5, -2]",0,Ca(NO3)2
133,"['Re', 'Cl']","[1, 5]","[5, -1]",0,ReCl5
134,"['Sb', 'O']","[2, 3]","[3, -2]",0,Sb2O3
135,['Ho'],[1],[0],0,Ho
136,"['Ag', 'O']","[2, 1]","[1, -2]",0,Ag2O
137,"['Li', 'P', 'O']","[940126422213591/562949953421312, 1, 1874623344892969/562949953421312]","[1, 5, -2]",5629499534213/562949953421312,Li1.67PO3.33
138,"['Hg', 'Cl']","[1, 1]","[1, -1]",0,HgCl
139,"['Zn', 'N']","[3, 2]","[2, -3]",0,Zn3N2
140,"['Co', 'S']","[1, 1]","[2.0, -2.0]",0,CoS
141,"['La', 'C', 'O']","[1, 3, 6]","[3, 3, -2]",0,La(CO2)3
142,"['Bi', 'O', 'H']","[1, 3, 3]","[3, -2, 1]",0,Bi(HO)3
