,precursor_ids,target,doi,year,type
0,"['Ca', 'Sb', 'Zn']",Ca9Zn4.2Sb9,10.1002/adfm.201606361,2017,test
1,"['Ca', 'Sb', 'Zn']",Ca9Zn4.3Sb9,10.1002/adfm.201606361,2017,test
2,"['Ca', 'Sb', 'Zn']",Ca9Zn4.4Sb9,10.1002/adfm.201606361,2017,test
3,"['Ca', 'Sb', 'Zn']",Ca9Zn4.5Sb9,10.1002/adfm.201606361,2017,test
4,"['Ca', 'Sb', 'Zn']",Ca9Zn4.6Sb9,10.1002/adfm.201606361,2017,test
5,"['Ca', 'Sb', 'Zn']",Ca9Zn4.7Sb9,10.1002/adfm.201606361,2017,test
6,"['Ca', 'Sb', 'Zn']",Ca9Zn4.8Sb9,10.1002/adfm.201606361,2017,test
7,"['Pr6O11', 'V2O5']",PrVO3,10.1002/adma.201604112,2017,test
8,"['Ni', 'Sn', 'Ti']",TiNiSn,10.1016/j.matlet.2017.06.068,2017,test
9,"['Hf', 'Ni', 'Sn', 'Ti']",Hf0.2Ti0.8NiSn,10.1016/j.matlet.2019.04.116,2019,test
10,"['Hf', 'Ni', 'Sn', 'Ti']",Hf0.3Ti0.7NiSn,10.1002/adma.201702091,2017,test
11,"['Hf', 'Ni', 'Sn', 'Ti']",Hf0.4Ti0.6NiSn,10.1002/adma.201702091,2017,test
12,"['Hf', 'Ni', 'Sn', 'Ti']",Hf0.5Ti0.5NiSn,10.1002/adma.201702091,2017,test
13,"['Cr', 'La2S3', 'S']",La1.2CrS3.2,10.1002/admi.201700631,2017,test
14,"['Al2O3', 'CaO', 'Na2CO3', 'SiO2']",Na0.2193Ca0.0263Al0.0789Si0.2632C0.1096O1,10.1039/c7tc05250b,2018,test
15,"['CaCO3', 'MnCO3']",Ca0.9Mn0.1O,10.1002/adom.201700070,2017,test
16,"['Na2CO3', 'P3H9(NO6)2', 'Sc2O3', 'SiO2']",Na3.4Sc2Si0.4P2.6O12,10.1002/aenm.201602454,2017,test
17,"['Co3O4', 'K50HO50']",K0.6CoO2,10.1002/aenm.201700098,2017,test
18,"['Na2CO3', 'SnO2', 'V2O3']",NaVSnO4,10.1002/aenm.201700361,2017,test
19,"['Mn2O3', 'Na2CO3']",Na0.7MnO,10.1002/celc.201700054,2017,test
20,"['Li2CO3', 'Mn2O3', 'Na2CO3']",Na0.609Li0.13Mn0.87O,10.1002/celc.201700054,2017,test
21,"['Al2O3', 'Tb2O3']",Tb3Al7O15,10.1002/crat.201700056,2017,test
22,"['LiH', 'Mg', 'MgH2']",Li3Mg7,10.1002/ente.201600777,2017,test
23,"['B2O3', 'La2O3', 'Na2CO3', 'SrCO3']",Na0.0484Sr0.0806La0.0323B0.5645O1,10.1002/jbm.b.33694,2017,test
24,"['Bi', 'Cl2', 'Pd']",PdBi16Cl22,10.1002/zaac.201600354,2017,test
25,"['Bi2O3', 'TeO2', 'ZnO']",Zn0.0441Bi0.0882Te0.2059O1,10.1007/s00339-017-0861-1,2017,test
26,"['Al2O3', 'BaF2', 'DyF3', 'NaF', 'SiO2']",Ba0.1313Na0.0437Dy0.0125Al0.25Si0.3125O1F0.3438,10.1007/s00339-017-0949-7,2017,test
27,"['As', 'Ga', 'Te']",Ga10As30Te60,10.1007/s00339-017-1111-2,2017,test
28,"['Co2O3', 'Fe2O3', 'La2O3', 'SrCO3']",Sr0.7La0.3Fe11.8Co0.25O19,10.1007/s00339-017-1129-5,2017,test
29,"['Co2O3', 'Fe2O3', 'La2O3', 'SrCO3', 'Y2O3']",Sr0.7La0.3Y0.2Fe11.6Co0.25O19,10.1007/s00339-017-1129-5,2017,test
30,"['BaO', 'CoO', 'CuO', 'MnO2', 'NiO']",Ba0.05Mn1.75Co0.45Ni0.7Cu0.05O4,10.1007/s00339-017-1192-y,2017,test
31,"['CoO', 'CuO', 'MnO2', 'NiO']",Mn1.75Co0.5Ni0.7Cu0.05O4,10.1007/s00339-017-1192-y,2017,test
32,"['BaO', 'CoO', 'CuO', 'MnO2', 'NiO']",Ba0.1Mn1.75Co0.4Ni0.7Cu0.05O4,10.1007/s00339-017-1192-y,2017,test
33,"['CaCO3', 'La2O3', 'MnO2', 'Pr2O3']",Ca0.375Pr0.36La0.265MnO3,10.1007/s00339-017-1295-5,2017,test
34,"['Bi2O3', 'Ta2O5', 'ZnO']",Ta0.333Zn0.667BiO3,10.1007/s00339-017-1406-3,2017,test
35,"['MnH6(CO)4', 'NaH3(CO)2', 'SiO2']",Na2MnSiO4,10.1007/s10800-016-1038-x,2017,test
36,"['As', 'In']",InAs,10.1007/s10853-016-0366-x,2017,test
37,"['Bi2O3', 'Co2O3', 'Fe2O3', 'Gd2O3', 'TiO2']",Gd0.75Ti3Fe0.5Co0.5Bi4.25O15,10.1007/s10853-017-0971-3,2017,test
38,"['B(HO)3', 'BaCO3', 'Na2CO3']",NaBa4B3O9,10.1007/s10853-017-1154-y,2017,test
39,"['Fe', 'Ga', 'Mn', 'Ni']",Mn20Fe2Ni53Ga25,10.1007/s10853-017-1399-5,2017,test
40,"['CaCO3', 'PH6NO4', 'ZrO2']",CaZrP2O8,10.1007/s10854-016-5561-7,2017,test
41,"['S', 'Sm2O3']",Sm2SO2,10.1007/s10854-016-5578-y,2017,test
42,"['Fe2O3', 'Li2CO3', 'ZnO', 'ZrO']",Li0.47Zr0.11Fe2.15Zn0.27O4,10.1007/s10854-016-5639-2,2017,test
43,"['Nb2O5', 'Pb3O4', 'SnO2', 'TiO2', 'ZrO2']",Zr0.539Ti0.049Nb0.02Pb0.99Sn0.392O3,10.1007/s10854-016-5679-7,2017,test
44,"['Nb2O5', 'Pb3O4', 'SnO2', 'TiO2', 'ZrO2']",Zr0.833Ti0.02Nb0.02Pb0.99Sn0.127O3,10.1007/s10854-016-5679-7,2017,test
45,"['Bi2O3', 'Nb2O5', 'PbO']",NbPb2BiO6,10.1007/s10854-016-5732-6,2017,test
46,"['Na2CO3', 'V2O5', 'Y2O3']",Na3YV2O8,10.1007/s10854-016-5827-0,2017,test
47,"['Eu2O3', 'Na2CO3', 'V2O5', 'Y2O3']",Na3Eu0.02Y0.98V2O8,10.1007/s10854-016-5827-0,2017,test
48,"['Eu2O3', 'Na2CO3', 'V2O5', 'Y2O3']",Na3Eu0.06Y0.94V2O8,10.1007/s10854-016-5827-0,2017,test
49,"['Eu2O3', 'Na2CO3', 'V2O5', 'Y2O3']",Na3Eu0.1Y0.9V2O8,10.1007/s10854-016-5827-0,2017,test
50,"['Eu2O3', 'Na2CO3', 'V2O5', 'Y2O3']",Na3Eu0.4Y0.6V2O8,10.1007/s10854-016-5827-0,2017,test
51,"['Eu2O3', 'Na2CO3', 'V2O5', 'Y2O3']",Na3Eu0.5Y0.5V2O8,10.1007/s10854-016-5827-0,2017,test
52,"['Eu2O3', 'Na2CO3', 'V2O5', 'Y2O3']",Na3Eu0.6Y0.4V2O8,10.1007/s10854-016-5827-0,2017,test
53,"['Eu2O3', 'Na2CO3', 'V2O5', 'Y2O3']",Na3Eu0.7Y0.3V2O8,10.1007/s10854-016-5827-0,2017,test
54,"['Eu2O3', 'Na2CO3', 'V2O5', 'Y2O3']",Na3Eu0.8Y0.2V2O8,10.1007/s10854-016-5827-0,2017,test
55,"['Bi2O3', 'CaCO3', 'PH6NO4']",Ca3BiP3O12,10.1007/s10854-016-5865-7,2017,test
