target,precursor_ids,doi,year,type
Ca9Zn4.2Sb9,"591,108,342",10.1002/adfm.201606361,2017,test
Ca9Zn4.3Sb9,"591,108,342",10.1002/adfm.201606361,2017,test
Ca9Zn4.4Sb9,"591,108,342",10.1002/adfm.201606361,2017,test
Ca9Zn4.5Sb9,"591,108,342",10.1002/adfm.201606361,2017,test
Ca9Zn4.6Sb9,"591,108,342",10.1002/adfm.201606361,2017,test
Ca9Zn4.7Sb9,"591,108,342",10.1002/adfm.201606361,2017,test
Ca9Zn4.8Sb9,"591,108,342",10.1002/adfm.201606361,2017,test
PrVO3,"265,268",10.1002/adma.201604112,2017,test
TiNiSn,"756,541,480",10.1016/j.matlet.2017.06.068,2017,test
Hf0.2Ti0.8NiSn,"233,756,541,480",10.1016/j.matlet.2019.04.116,2019,test
Hf0.3Ti0.7NiSn,"233,756,541,480",10.1002/adma.201702091,2017,test
Hf0.4Ti0.6NiSn,"233,756,541,480",10.1002/adma.201702091,2017,test
Hf0.5Ti0.5NiSn,"233,756,541,480",10.1002/adma.201702091,2017,test
La1.2CrS3.2,"283,612,345",10.1002/admi.201700631,2017,test
Na0.2193Ca0.0263Al0.0789Si0.2632C0.1096O1,"282,173,652,490",10.1039/c7tc05250b,2018,test
Ca0.9Mn0.1O,"425,157",10.1002/adom.201700070,2017,test
Na3.4Sc2Si0.4P2.6O12,"652,73,156,490",10.1002/aenm.201602454,2017,test
K0.6CoO2,"417,538",10.1002/aenm.201700098,2017,test
NaVSnO4,"652,753,634",10.1002/aenm.201700361,2017,test
Na0.7MnO,"235,652",10.1002/celc.201700054,2017,test
Na0.609Li0.13Mn0.87O,"200,235,652",10.1002/celc.201700054,2017,test
Tb3Al7O15,"282,229",10.1002/crat.201700056,2017,test
Li3Mg7,"666,792,214",10.1002/ente.201600777,2017,test
Na0.0484Sr0.0806La0.0323B0.5645O1,"512,339,652,795",10.1002/jbm.b.33694,2017,test
PdBi16Cl22,"561,179,567",10.1002/zaac.201600354,2017,test
Zn0.0441Bi0.0882Te0.2059O1,"641,21,457",10.1007/s00339-017-0861-1,2017,test
Ba0.1313Na0.0437Dy0.0125Al0.25Si0.3125O1F0.3438,"282,460,8,606,490",10.1007/s00339-017-0949-7,2017,test
Ga10As30Te60,"167,563,502",10.1007/s00339-017-1111-2,2017,test
Sr0.7La0.3Fe11.8Co0.25O19,"638,564,339,795",10.1007/s00339-017-1129-5,2017,test
Sr0.7La0.3Y0.2Fe11.6Co0.25O19,"638,564,339,795,43",10.1007/s00339-017-1129-5,2017,test
Ba0.05Mn1.75Co0.45Ni0.7Cu0.05O4,"17,488,150,489,661",10.1007/s00339-017-1192-y,2017,test
Mn1.75Co0.5Ni0.7Cu0.05O4,"488,150,489,661",10.1007/s00339-017-1192-y,2017,test
Ba0.1Mn1.75Co0.4Ni0.7Cu0.05O4,"17,488,150,489,661",10.1007/s00339-017-1192-y,2017,test
Ca0.375Pr0.36La0.265MnO3,"425,339,489,67",10.1007/s00339-017-1295-5,2017,test
Ta0.333Zn0.667BiO3,"641,116,457",10.1007/s00339-017-1406-3,2017,test
Na2MnSiO4,"399,202,490",10.1007/s10800-016-1038-x,2017,test
InAs,"167,390",10.1007/s10853-016-0366-x,2017,test
Gd0.75Ti3Fe0.5Co0.5Bi4.25O15,"641,638,564,277,709",10.1007/s10853-017-0971-3,2017,test
NaBa4B3O9,"63,65,652",10.1007/s10853-017-1154-y,2017,test
Mn20Fe2Ni53Ga25,"26,563,556,756",10.1007/s10853-017-1399-5,2017,test
CaZrP2O8,"425,193,286",10.1007/s10854-016-5561-7,2017,test
Sm2SO2,"345,130",10.1007/s10854-016-5578-y,2017,test
Li0.47Zr0.11Fe2.15Zn0.27O4,"564,200,457,669",10.1007/s10854-016-5639-2,2017,test
Zr0.539Ti0.049Nb0.02Pb0.99Sn0.392O3,"186,738,753,709,286",10.1007/s10854-016-5679-7,2017,test
Zr0.833Ti0.02Nb0.02Pb0.99Sn0.127O3,"186,738,753,709,286",10.1007/s10854-016-5679-7,2017,test
NbPb2BiO6,"641,186,646",10.1007/s10854-016-5732-6,2017,test
Na3YV2O8,"652,268,43",10.1007/s10854-016-5827-0,2017,test
Na3Eu0.02Y0.98V2O8,"60,652,268,43",10.1007/s10854-016-5827-0,2017,test
Na3Eu0.06Y0.94V2O8,"60,652,268,43",10.1007/s10854-016-5827-0,2017,test
Na3Eu0.1Y0.9V2O8,"60,652,268,43",10.1007/s10854-016-5827-0,2017,test
Na3Eu0.4Y0.6V2O8,"60,652,268,43",10.1007/s10854-016-5827-0,2017,test
Na3Eu0.5Y0.5V2O8,"60,652,268,43",10.1007/s10854-016-5827-0,2017,test
Na3Eu0.6Y0.4V2O8,"60,652,268,43",10.1007/s10854-016-5827-0,2017,test
Na3Eu0.7Y0.3V2O8,"60,652,268,43",10.1007/s10854-016-5827-0,2017,test
Na3Eu0.8Y0.2V2O8,"60,652,268,43",10.1007/s10854-016-5827-0,2017,test
Ca3BiP3O12,"641,425,193",10.1007/s10854-016-5865-7,2017,test
Ca3Sm0.05Bi0.95P3O12,"641,425,193,130",10.1007/s10854-016-5865-7,2017,test
Ba0.558Sr0.372La3.72Ti3.79O14.09,"65,339,795,709",10.1007/s10854-016-5935-x,2017,test
CdGeO3,"22,244",10.1007/s10854-016-6152-3,2017,test
Eu0.005Cd0.995GeO3,"22,60,244",10.1007/s10854-016-6152-3,2017,test
Eu0.01Cd0.99GeO3,"22,60,244",10.1007/s10854-016-6152-3,2017,test
Eu0.02Cd0.98GeO3,"22,60,244",10.1007/s10854-016-6152-3,2017,test
Eu0.03Cd0.97GeO3,"22,60,244",10.1007/s10854-016-6152-3,2017,test
Eu0.05Cd0.95GeO3,"22,60,244",10.1007/s10854-016-6152-3,2017,test
Eu0.07Cd0.93GeO3,"22,60,244",10.1007/s10854-016-6152-3,2017,test
Eu0.09Cd0.91GeO3,"22,60,244",10.1007/s10854-016-6152-3,2017,test
NaTi3.1Nb0.9Cu3O12,"150,652,186,709",10.1007/s10854-016-6190-x,2017,test
Pr0.003Zn0.0423Ge0.1904Sb0.3808O1,"244,265,134,457",10.1007/s10854-016-6218-2,2017,test
Pr0.0031Zn0.0426Ge0.1915Sb0.383O1F0.0092,"244,671,134,457",10.1007/s10854-016-6218-2,2017,test
Tb4Eu2O10,"60,145",10.1007/s10854-016-6226-2,2017,test
Er2S3,"626,345",10.1007/s10854-016-6306-3,2017,test
Dy2FeO3,"590,564",10.1007/s10854-017-6628-9,2017,test
La0.025Zr0.5Fe0.475Pb0.5Bi0.5O3,"641,564,339,646,286",10.1007/s10854-017-6644-9,2017,test
La0.05Zr0.5Fe0.45Pb0.5Bi0.5O3,"641,564,339,646,286",10.1007/s10854-017-6644-9,2017,test
La0.075Zr0.5Fe0.425Pb0.5Bi0.5O3,"641,564,339,646,286",10.1007/s10854-017-6644-9,2017,test
La0.1Zr0.5Fe0.4Pb0.5Bi0.5O3,"641,564,339,646,286",10.1007/s10854-017-6644-9,2017,test
Gd4ZnSi3O13,"277,490,457",10.1007/s10854-017-6651-x,2017,test
Tb4ZnSi3O13,"490,145,457",10.1007/s10854-017-6651-x,2017,test
Gd4Mn0.08Zn0.92Si3O13,"277,235,490,457",10.1007/s10854-017-6651-x,2017,test
